,smiles
177,[CH2:1][C@H:2]1[CH2:3][C@@H:4]([CH3:5])[CH2:6][N:7]([CH3:8])[CH2:9]1
178,[O:8]=[C:9]1[NH:10][CH:11]=[C:12]2[N:13][CH:14]=[N:15][C@@H:16]2[NH:17]1
179,[NH2:1][CH2:2][C:3]#[C:4][CH2:5][CH2:6][NH2:7]
180,[CH3:11][N:12]1[CH:13]=[CH:14][C:15](=[O:16])[CH:17][CH2:18]1
181,[NH2:10][C@@H:11]1[CH:12][C@@H:13]1[C:14](=[O:15])[OH:16]
182,[CH3:1][C@@H:2]1[CH:3]=[C:4][N:5]([CH3:6])[N:7]1[CH3:8]
183,[CH2:9][CH2:10][CH2:11][c:12]1[cH:13][cH:14][c:15]([NH2:16])[n:17][n:18]1
184,[CH2:10]=[CH:11][c:12]1[cH:13][n:14][cH:15][c:16]([OH:17])[cH:18]1
185,[CH3:1][C@@H:2]1[O:3][CH2:4][O:5][CH2:6][C@:7]1([CH3:8])[CH2:9][OH:10]
186,[CH3:10][O:11][c:12]1[n:13][c:14]([NH2:15])[cH:16][cH:17][c:18]1[NH:19]
187,[CH3:7][C:8]([OH:9])([OH:10])[NH:11][CH3:12]
188,[CH3:9][C:10]12[CH2:11][CH2:12][C:13]([CH2:14][CH2:15]1)[CH2:16][NH:17]2
189,[CH3:1][CH2:2][C:3](=[O:4])[C@H:5]([NH2:6])[CH2:7][CH:8]([CH3:9])[CH3:10]
190,[CH3:1][O:2][C:3](=[O:4])[C@@H:5]1[CH2:6][CH2:7][C@@H:8]1[CH2:9]
191,[cH:1]1[n:2][cH:3][c:4]2[o:5][n:6][cH:7][c:8]2[n:9]1
192,[CH3:1][O:2][C:3]1=[N:4][C:5]=[C:6]([CH3:7])[C@@H:8]1[CH3:9]
193,[N:9]#[C:10][C@@H:11]1[CH2:12][NH:13][CH:14][CH2:15][C:16]1=[O:17]
194,[CH3:1][c:2]1[n:3][c:4][cH:5][n:6]1[NH2:7]
195,[CH2:10][C@@:11]1([C:12]([CH3:13])=[O:14])[O:15][C@:16]1([CH3:17])[OH:18]
196,[CH3:1][C:2](=[O:3])[CH2:4][C@H:5]([OH:6])[CH:7][CH:8]([CH3:9])[CH3:10]
197,[OH:1][c:2]1[cH:3][cH:4][cH:5][c:6]2[c:7]1[N:8][CH2:9][CH2:10]2
198,[CH3:10][C@@:11]12[CH2:12][C@@H:13]([CH:14]=[CH:15]1)[C:16](=[O:17])[C:18]2=[O:19]
199,[CH:1]1=[CH:2]/[N:3]=[CH:4]\[CH2:5][O:6][CH:7]=[C:8]1
200,[CH3:1]/[C:2](=[CH:3]\[CH:4]([OH:5])[OH:6])[C:7]([OH:8])[OH:9]
201,[CH3:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][c:17]([CH2:18][CH3:19])[n:20]1
202,[CH3:1][O:2]/[C:3]=[CH:4]/[C:5](=[O:6])[N:7]=[C:8]=[O:9]
203,[CH3:1][C@H:2]([C:3](=[O:4])[OH:5])[N:6]1[CH:7][CH2:8][CH2:9]1
204,[CH3:10][CH2:11][CH2:12][n:13]1[cH:14][cH:15][o:16][c:17]1=[O:18]
205,[CH3:1][CH2:2][C@@H:3]1[O:4][CH:5][CH2:6][N:7]1[CH2:8][CH3:9]
206,[CH3:10][CH2:11][CH2:12][C@@H:13]1[C:14]=[CH:15][NH:16][N:17]=[CH:18]1
207,[O:9][C@H:10]1[CH2:11][NH:12][C:13](=[O:14])[NH:15]1
208,[CH2:10][C@@H:11]1[CH2:12][NH:13][C@@H:14]1[C:15](=[O:16])[OH:17]
209,[CH2:1][C:2]1=[CH:3][CH2:4][O:5][C@:6]1([CH3:7])[O:8][OH:9]
210,[CH3:9][C:10](=[O:11])[NH:12][CH2:13][CH:14]=[C:15]([CH3:16])[CH3:17]
211,[O:1]=[N:2][N:3]1[CH2:4][CH2:5][CH2:6][C:7]([OH:8])[CH2:9]1
212,[OH:10][CH2:11][CH2:12][c:13]1[n:14][c:15][n:16][cH:17][n:18]1
213,[CH:11]=[C:12]([CH3:13])[c:14]1[n:15][nH:16][c:17](=[O:18])[o:19]1
214,[CH3:1][C@@H:2]1[CH2:3][N:4][CH2:5][C@H:6]([CH3:7])[CH2:8]1
215,[CH2:1]1[CH2:2][CH2:3][CH2:4][O:5][CH2:6][O:7][CH2:8][CH2:9]1
216,[O:1]=[N:2][N:3]1[CH2:4][CH2:5][CH2:6][C@H:7]([OH:8])[CH2:9]1
217,[O:1]=[C:2]([OH:3])[CH:4][C@:5]1([OH:6])[CH2:7][O:8]1
218,[CH2:1]=[CH:2][C@:3]1([CH3:4])[NH:5][C:6](=[O:7])[NH:8][C:9]1=[O:10]
219,[cH:1]1[n:2][c:3]2[c:4]([nH:5]1)[CH2:6][CH2:7][CH2:8]2
220,[CH:1]=[CH:2][CH2:3][C@:4]1([CH3:5])[CH2:6][CH2:7][CH2:8][NH:9]1
221,[O:11]=[C:12]([OH:13])[C@H:14]([OH:15])[CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20]1
222,[CH3:1][CH2:2][CH2:3][C@H:4]([CH2:5][CH3:6])[O:7][OH:8]
223,[CH3:9][CH2:10][CH2:11][C:12]1=[C:13]([OH:14])[CH2:15][O:16][C:17]1=[O:18]
224,[NH:10][C@H:11]([OH:12])[c:13]1[cH:14][cH:15][cH:16][cH:17][n:18]1
225,[CH:10]=[C:11]1[NH:12][C:13](=[O:14])[CH:15]=[C:16]1[CH3:17]
226,[NH2:11][CH2:12][CH2:13][C:14]1=[CH:15][N:16][NH:17][C:18]1=[O:19]
227,[CH2:8][C:9]1([CH2:10][C:11](=[O:12])[OH:13])[N:14]=[N:15]1
228,[CH3:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][n:14][o:15]1
229,[CH3:11][C:12]1([CH3:13])[CH2:14][C:15](=[O:16])[O:17][CH:18]=[CH:19]1
230,[CH2:1]1[CH2:2][O:3][N:4]=[N:5]1
